filename,snr_db
150cm.21.m4a,4.81
150cm.22.m4a,6.1
150cm.23.m4a,5.47
150cm.24.m4a,6.7
150cm.25.m4a,2.12
150cm.26.m4a,6.05
150cm.27.m4a,7.13
150cm.28.m4a,4.4
150cm.29.m4a,3.01
150cm.30.m4a,3.18
150cm.31.m4a,3.8
150cm.32.m4a,3.39
150cm.33.m4a,5.22
150cm.34.m4a,2.57
150cm.35.m4a,3.46
150cm.36.m4a,6.98
150cm.37.m4a,6.24
150cm.38.m4a,4.66
150cm.39.m4a,5.13
150cm.40.m4a,2.39
150cm.41.m4a,2.05
150cm.42.m4a,2.96
150cm.43.m4a,4.48
150cm.44.m4a,3.35
150cm.45.m4a,3.76
150cm.46.m4a,4.47
150cm.47.m4a,7.5
150cm.48.m4a,7.52
150cm.49.m4a,3.99
150cm.50.m4a,3.2
150cm.51.m4a,1.91
150cm.52.m4a,4.73
150cm.53.m4a,4.98
150cm.54.m4a,5.72
150cm.55.m4a,4.62
150cm.56.m4a,1.85
150cm.57.m4a,2.85
150cm.58.m4a,5.1
150cm.59.m4a,5.12
DgDAM50rM_U_S0---0000.00-0013.510__150cm.m4a,-0.18
DgDAM50rM_U_S102---0074.230-0084.080__150cm.m4a,-0.02
DgDAM50rM_U_S102---0104.530-0113.750__150cm.m4a,0.04
DgDAM50rM_U_S102---0113.750-0132.910__150cm.m4a,-0.03
DgDAM50rM_U_S102---0132.910-0143.720__150cm.m4a,-0.13
DgDAM50rM_U_S102---0143.720-0151.180__150cm.m4a,0.07
DgDAM50rM_U_S102---0151.180-0159.260__150cm.m4a,0.17
DgDAM50rM_U_S102---0159.260--0172.160__150cm.m4a,-0.15
DgDAM50rM_U_S102---0172.220--0183.780__150cm.m4a,0.4
DgDAM50rM_U_S102---0183.810--0203.350__150cm.m4a,0.04
DgDAM50rM_U_S102---0203.350-0209.970__150cm.m4a,1.04
DgDAM50rM_U_S102---0209.970-0214.610__150cm.m4a,0.04
mar_0001_50cm.m4a,-0.29
mar_0001_50cm.wav,-0.01
mar_0002_50cm.m4a,-0.28
mar_0002_50cm.wav,0.02
mar_0003_50cm.m4a,-0.34
mar_0003_50cm.wav,0.02
mar_0004_50cm.m4a,-0.53
mar_0004_50cm.wav,0.05
mar_0005_50cm.m4a,-0.17
mar_0005_50cm.wav,-0.02
mar_0006_50cm.m4a,-0.35
mar_0006_50cm.wav,-0.13
mar_0007_50cm.m4a,-0.37
mar_0007_50cm.wav,0.02
mar_0008_50cm.m4a,-0.34
mar_0008_50cm.wav,-0.05
mar_0009_50cm.m4a,-0.57
mar_0009_50cm.wav,0.06
mar_0010_50cm.m4a,-0.62
mar_0010_50cm.wav,0.08
mar_0016_150cm.m4a,-0.77
mar_0016_150cm.wav,0.02
mar_0016_150cm_180.m4a,-0.59
mar_0016_150cm_45.m4a,-0.46
mar_0016_150cm_90.m4a,-0.62
mar_0017_150cm.m4a,-0.63
mar_0017_150cm.wav,-0.01
mar_0017_150cm_180.m4a,-0.85
mar_0017_150cm_45.m4a,-0.52
mar_0017_150cm_90.m4a,-0.84
mar_0018_150cm.m4a,-0.04
mar_0018_150cm.wav,-0.01
mar_0018_150cm_180.m4a,-0.21
mar_0018_150cm_45.m4a,-0.21
mar_0018_150cm_90.m4a,-0.37
mar_0019_150cm.m4a,-0.61
mar_0019_150cm.wav,0.09
mar_0019_150cm_180.m4a,-0.61
mar_0019_150cm_45.m4a,-0.72
mar_0019_150cm_90.m4a,-0.94
mar_0020_150cm.m4a,-0.3
mar_0020_150cm.wav,-0.01
mar_0020_150cm_180.m4a,-0.09
mar_0020_150cm_45.m4a,0.11
mar_0020_150cm_90.m4a,-0.15
mar_0021_150cm.m4a,-0.51
mar_0021_150cm.wav,0
mar_0022_150cm.m4a,-1.04
mar_0022_150cm.wav,0.03
mar_0023_150cm.m4a,-0.13
mar_0023_150cm.wav,-0.26
mar_0024_150cm.m4a,-0.7
mar_0024_150cm.wav,0.13
mar_0025_150cm.m4a,-0.84
mar_0025_150cm.wav,0.07
mar_0026_150cm.m4a,-1.08
mar_0026_150cm.wav,0.01
mar_0027_150cm.m4a,-0.46
mar_0027_150cm.wav,-0.11
mar_0028_150cm.m4a,-0.87
mar_0028_150cm.wav,0.08
mar_0029_150cm.m4a,-1.2
mar_0029_150cm.wav,0.09
mar_0030_150cm.m4a,-1.14
mar_0030_150cm.wav,0.05
mar_0031_150cm.m4a,-0.8
mar_0031_150cm.wav,-0.04
mar_0032_150cm.m4a,-0.94
mar_0032_150cm.wav,-0.04
mar_0033_150cm.m4a,-0.48
mar_0033_150cm.wav,-0.01
mar_0034_150cm.m4a,-1.08
mar_0034_150cm.wav,0.12
mar_0035_150cm.m4a,-1.04
mar_0035_150cm.wav,0.09
mar_0036_150cm.m4a,-1.03
mar_0036_150cm.wav,0.03
mar_0037_150cm.m4a,0.32
mar_0037_150cm.wav,-0.48
mar_0038_150cm.m4a,-0.97
mar_0038_150cm.wav,0.21
mar_0039_150cm.m4a,-0.84
mar_0039_150cm.wav,0.03
mar_0040_150cm.m4a,-0.9
mar_0040_150cm.wav,0.06
mar_0041_150cm.m4a,-1.1
mar_0041_150cm.wav,-0.03
mar_0042_150cm.m4a,-0.59
mar_0042_150cm.wav,0.09
mar_0043_150cm.m4a,-0.56
mar_0043_150cm.wav,0.01
mar_0044_150cm.m4a,-0.83
mar_0044_150cm.wav,0.07
mar_0045_150cm.m4a,-0.59
mar_0045_150cm.wav,0.02
mar_0046_150cm.m4a,-0.78
mar_0046_150cm.wav,0.06
mar_0047_150cm.m4a,-0.77
mar_0047_150cm.wav,0.08
mar_0048_150cm.m4a,-0.36
mar_0048_150cm.wav,-0.01
mar_0049_150cm.m4a,-0.88
mar_0049_150cm.wav,-0.01
mar_0050_150cm.m4a,-0.98
mar_0050_150cm.wav,0.08
mar_0051_150cm.m4a,-0.69
mar_0051_150cm.wav,-0.03
mar_0052_150cm.m4a,-0.48
mar_0052_150cm.wav,0.01
mar_0053_150cm.m4a,-1.11
mar_0053_150cm.wav,0.05
mar_0054_150cm.m4a,-0.77
mar_0054_150cm.wav,-0.03
mar_0055_150cm.m4a,-0.83
mar_0055_150cm.wav,0.06
mar_0056_150cm.m4a,-0.55
mar_0056_150cm.wav,0.04
mar_0057_150cm.m4a,-0.67
mar_0057_150cm.wav,0.1
mar_0058_150cm.m4a,-0.88
mar_0058_150cm.wav,0.05
mar_0059_150cm.m4a,-0.68
mar_0059_150cm.wav,0
mar_0060_150cm.m4a,-0.08
mar_0060_150cm.wav,-0.14
mar_0061_150cm.m4a,-0.51
mar_0061_150cm.wav,-0.02
mar_0062_150cm.m4a,-0.86
mar_0062_150cm.wav,0.01
mar_0063_150cm.m4a,-0.21
mar_0063_150cm.wav,-0.08
mar_0064_150cm.m4a,-0.72
mar_0064_150cm.wav,-0.02
mar_0065_150cm.m4a,-0.68
mar_0065_150cm.wav,-0.02
mar_0066_150cm.m4a,-0.57
mar_0066_150cm.wav,-0.02
mar_0067_150cm.m4a,-0.4
mar_0067_150cm.wav,-0.03
mar_0068_150cm.m4a,-0.91
mar_0068_150cm.wav,0.01
mar_0069_150cm.m4a,0.04
mar_0069_150cm.wav,-0.14
mar_0070_150cm.m4a,-0.57
mar_0070_150cm.wav,0.01
mar_0071_150cm.m4a,-0.41
mar_0071_150cm.wav,0.06
mar_0072_150cm.m4a,-0.65
mar_0072_150cm.wav,-0.06
mar_0073_150cm.m4a,0.21
mar_0073_150cm.wav,-0.1
mar_0074_150cm.m4a,-0.38
mar_0074_150cm.wav,0.04
mar_0075_150cm.m4a,-0.02
mar_0075_150cm.wav,-0.13
mar_0076_150cm.m4a,-0.53
mar_0076_150cm.wav,0.02
mar_0077_150cm.m4a,-0.68
mar_0077_150cm.wav,0.04
mar_0078_150cm.m4a,-1.05
mar_0078_150cm.wav,0.07
mar_0079_150cm.m4a,-0.61
mar_0079_150cm.wav,-0.04
mar_0081_150cm.m4a,-0.05
mar_0081_150cm.wav,-0.21
mar_0082_150cm.m4a,-0.71
mar_0082_150cm.wav,0.09
mar_0083_150cm.m4a,-0.91
mar_0083_150cm.wav,0.14
mar_0084_150cm.m4a,-0.42
mar_0084_150cm.wav,0.01
mar_0085_150cm.m4a,-0.74
mar_0085_150cm.wav,0.07
mar_0086_150cm.m4a,-0.27
mar_0086_150cm.wav,-0.11
mar_0087_150cm.m4a,-0.69
mar_0087_150cm.wav,0.02
mar_0088_150cm.m4a,-0.09
mar_0088_150cm.wav,-0.2
mar_0089_150cm.m4a,-0.87
mar_0089_150cm.wav,0.11
mar_0090_150cm.m4a,-0.04
mar_0090_150cm.wav,-0.09
mar_0091_150cm.m4a,0.1
mar_0091_150cm.wav,-0.21
mar_0092_150cm.m4a,-0.09
mar_0092_150cm.wav,-0.19
mar_0093_150cm.m4a,0.29
mar_0093_150cm.wav,-0.21
mar_0094_150cm.m4a,1.34
mar_0094_150cm.wav,-0.49
mar_0095_150cm.m4a,-0.53
mar_0095_150cm.wav,-0.02
mar_0096_150cm.m4a,0.18
mar_0096_150cm.wav,-0.44
mar_0097_150cm.m4a,-0.51
mar_0097_150cm.wav,-0.05
mar_0098_150cm.m4a,-0.28
mar_0098_150cm.wav,-0.14
mar_0099_150cm.m4a,-0.14
mar_0099_150cm.wav,-0.24
mar_0100_150cm.m4a,-0.06
mar_0100_150cm.wav,-0.33
mar_0101_150cm_180.m4a,-0.85
mar_0101_150cm_90.m4a,-0.98
mar_0102_150cm_180.m4a,-0.12
mar_0102_150cm_90.m4a,0.18
mar_0103_150cm_180.m4a,-0.71
mar_0103_150cm_45.m4a,-0.88
mar_0103_150cm_90.m4a,-0.72
mar_0104_150cm_180.m4a,-1.31
mar_0104_150cm_45.m4a,-1.3
mar_0104_150cm_90.m4a,-1.27
mar_0105_150cm_180.m4a,-0.88
mar_0105_150cm_90.m4a,-0.9
mar_0106_150cm_180.m4a,-0.76
mar_0106_150cm_45.m4a,-0.77
mar_0106_150cm_90.m4a,-0.77
mar_0107_150cm_180.m4a,-1.27
mar_0107_150cm_45.m4a,-1.26
mar_0107_150cm_90.m4a,-1.22
mar_0108_150cm_180.m4a,-1.19
mar_0108_150cm_45.m4a,-1.36
mar_0108_150cm_90.m4a,-1.3
mar_0109_150cm_180.m4a,-0.83
mar_0109_150cm_45.m4a,-0.96
mar_0109_150cm_90.m4a,-1.02
mar_0110_150cm_180.m4a,-1.21
mar_0110_150cm_45.m4a,-1.15
mar_0110_150cm_90.m4a,-1.15
mar_0111_150cm_180.m4a,-0.76
mar_0111_150cm_45.m4a,-0.47
mar_0111_150cm_90.m4a,-0.8
mar_0112_150cm_180.m4a,-0.75
mar_0112_150cm_45.m4a,-0.73
mar_0112_150cm_90.m4a,-0.88
mar_0113_150cm_180.m4a,-0.17
mar_0113_150cm_45.m4a,0.19
mar_0113_150cm_90.m4a,0.05
mar_0114_150cm_180.m4a,0.07
mar_0114_150cm_45.m4a,-0.25
mar_0114_150cm_90.m4a,-0.23
mar_0115_150cm_180.m4a,1.05
mar_0115_150cm_45.m4a,1.04
mar_0115_150cm_90.m4a,0.88
mar_0116_150cm_180.m4a,-0.59
mar_0116_150cm_45.m4a,-0.46
mar_0116_150cm_90.m4a,-0.62
mar_0117_150cm_180.m4a,-0.85
mar_0117_150cm_45.m4a,-0.52
mar_0117_150cm_90.m4a,-0.84
mar_0118_150cm_180.m4a,-0.21
mar_0118_150cm_45.m4a,-0.21
mar_0118_150cm_90.m4a,-0.37
mar_0119_150cm_180.m4a,-0.61
mar_0119_150cm_45.m4a,-0.72
mar_0119_150cm_90.m4a,-0.94
mar_0120_150cm_180.m4a,-0.09
mar_0120_150cm_45.m4a,0.11
mar_0120_150cm_90.m4a,-0.15
mar_0121_150cm_180.m4a,-0.29
mar_0121_150cm_45.m4a,0.13
mar_0121_150cm_90.m4a,-0.05
mar_0122_150cm_180.m4a,0.75
mar_0122_150cm_45.m4a,0.5
mar_0122_150cm_90.m4a,0.22
mar_0123_150cm_180.m4a,-0.17
mar_0123_150cm_45.m4a,-0.05
mar_0123_150cm_90.m4a,-0.28
mar_0124_150cm_180.m4a,0.11
mar_0124_150cm_45.m4a,0.13
mar_0124_150cm_90.m4a,0.13
mar_0125_150cm_180.m4a,-0.07
mar_0125_150cm_45.m4a,-0.07
mar_0125_150cm_90.m4a,-0.19
mar_0126_150cm_180.m4a,0.4
mar_0126_150cm_45.m4a,0.62
mar_0126_150cm_90.m4a,0.57
mar_0127_150cm_180.m4a,1.41
mar_0127_150cm_45.m4a,1.25
mar_0127_150cm_90.m4a,1.22
mar_0128_150cm_180.m4a,-0.11
mar_0128_150cm_45.m4a,-0.08
mar_0128_150cm_90.m4a,-0.1
mar_0129_150cm_180.m4a,0.29
mar_0129_150cm_45.m4a,0.55
mar_0129_150cm_90.m4a,0.69
mar_0130_150cm_180.m4a,-0.68
mar_0130_150cm_45.m4a,-0.43
mar_0130_150cm_90.m4a,-0.46
mar_0131_150cm_180.m4a,0.05
mar_0131_150cm_45.m4a,0.6
mar_0131_150cm_90.m4a,0.32
mar_0132_150cm_180.m4a,0.5
mar_0132_150cm_90.m4a,0.46
mar_0133_150cm_180.m4a,-0.01
mar_0133_150cm_45.m4a,-0.27
mar_0133_150cm_90.m4a,-0.14
mar_0134_150cm_180.m4a,1.04
mar_0134_150cm_45.m4a,1.1
mar_0134_150cm_90.m4a,0.97
mar_0135_150cm_180.m4a,0.07
mar_0135_150cm_45.m4a,0.03
mar_0136_150cm_180.m4a,0.46
mar_0136_150cm_90.m4a,0.29
mar_0137_150cm_180.m4a,0.24
mar_0137_150cm_45.m4a,-0.03
mar_0137_150cm_90.m4a,-0.3
mar_0138_150cm_180.m4a,0.85
mar_0138_150cm_45.m4a,0.53
mar_0138_150cm_90.m4a,0.37
mar_0139_150cm_180.m4a,0.52
mar_0139_150cm_45.m4a,0.1
mar_0139_150cm_90.m4a,0.2
mar_0140_150cm_180.m4a,0.42
mar_0140_150cm_45.m4a,0.4
mar_0140_150cm_90.m4a,0.15
mar_0141_150cm_180.m4a,-0.56
mar_0141_150cm_45.m4a,-0.05
mar_0141_150cm_90.m4a,0.08
mar_0142_150cm_180.m4a,-0.13
mar_0142_150cm_45.m4a,0
mar_0142_150cm_90.m4a,0.18
mar_0143_150cm_180.m4a,0.54
mar_0143_150cm_45.m4a,0.69
mar_0143_150cm_90.m4a,0.51
mar_0144_150cm_180.m4a,1.95
mar_0144_150cm_45.m4a,1.68
mar_0144_150cm_90.m4a,1.16
mar_0145_150cm_180.m4a,-0.2
mar_0145_150cm_45.m4a,0.71
mar_0145_150cm_90.m4a,0.03
mar_0146_150cm_180.m4a,1.36
mar_0146_150cm_45.m4a,0.34
mar_0146_150cm_90.m4a,0.31
mar_0147_150cm_180.m4a,0.91
mar_0147_150cm_45.m4a,0.62
mar_0147_150cm_90.m4a,0.39
mar_0148_150cm_180.m4a,-0.69
mar_0148_150cm_45.m4a,-0.29
mar_0148_150cm_90.m4a,-0.36
mar_0149_150cm_180.m4a,-0.18
mar_0149_150cm_45.m4a,0.1
mar_0149_150cm_90.m4a,0.07
mar_0150_150cm_180.m4a,0.08
mar_0150_150cm_45.m4a,0.52
mar_0150_150cm_90.m4a,0.41
