filename,snr_db
1m.59.m4a,5.7
1m.58.m4a,14.1
mar_0010_1m.m4a,-0.74
mar_0002_1m.m4a,-1.0
msr_0006_1m.m4a,-0.73
1m.60.m4a,10.0
1m.48.m4a,12.29
1m.49.m4a,10.7
mar_0008_1m.m4a,-0.71
mar_0004_1m.m4a,-1.04
1m.39.m4a,6.92
1m.38.m4a,10.07
1m.28.m4a,9.37
1m.29.m4a,9.66
1m.27.m4a,11.3
1m.33.m4a,10.08
mar_0003_1m.m4a,-0.89
1m.32.m4a,7.69
1m.26.m4a,11.47
1m.30.m4a,8.83
1m.24.m4a,13.32
1m.25.m4a,12.26
1m.31.m4a,9.58
1m.35.m4a,9.73
1m.21.m4a,5.07
1m.34.m4a,7.12
1m.22.m4a,13.56
1m.36.m4a,7.08
mar_0001_1m.m4a,-0.54
1m.37.m4a,5.97
1m.23.m4a,10.81
1m.44.m4a,10.41
1m.50.m4a,12.41
1m.51.m4a,7.61
1m.45.m4a,8.83
1m.53.m4a,9.98
1m.47.m4a,11.76
mar_0009_1m.m4a,-0.99
mar_0005_1m.m4a,-0.49
1m.46.m4a,6.47
1m.52.m4a,9.52
1m.56.m4a,11.62
1m.42.m4a,12.35
mar_0007_1m.m4a,-0.78
1m.43.m4a,11.08
1m.57.m4a,7.92
1m.41.m4a,7.76
1m.55.m4a,7.64
1m.54.m4a,10.36
1m.40.m4a,5.19
