filename,snr_db
10_180.wav,-0.25
10_45.wav,-1.05
10_90.wav,-0.88
11_180.wav,1.75
11_45.wav,-0.22
11_90.wav,-0.39
12_180.wav,3.08
12_45.wav,1.06
12_90.wav,1.01
13_180.wav,2.66
13_45.wav,1.86
13_90.wav,0.58
14_180.wav,2.44
14_45.wav,0.85
14_90.wav,0.18
15_180.wav,0.51
15_45.wav,-0.47
15_90 (1).wav,0.14
16_180.wav,2.24
16_45.wav,1.7
16_90.wav,0.07
17_180.wav,1.42
17_45.wav,0.15
18_180.wav,0.69
18_45.wav,-0.41
18_90.wav,0.06
19_180.wav,0.37
19_45.wav,-0.67
19_90.wav,-0.63
1m.21.m4a,5.07
1m.22.m4a,13.56
1m.23.m4a,10.81
1m.24.m4a,13.32
1m.25.m4a,12.26
1m.26.m4a,11.47
1m.27.m4a,11.3
1m.28.m4a,9.37
1m.29.m4a,9.66
1m.30.m4a,8.83
1m.31.m4a,9.58
1m.32.m4a,7.69
1m.33.m4a,10.08
1m.34.m4a,7.12
1m.35.m4a,9.73
1m.36.m4a,7.08
1m.37.m4a,5.97
1m.38.m4a,10.07
1m.39.m4a,6.92
1m.40.m4a,5.19
1m.41.m4a,7.76
1m.42.m4a,12.35
1m.43.m4a,11.08
1m.44.m4a,10.41
1m.45.m4a,8.83
1m.46.m4a,6.47
1m.47.m4a,11.76
1m.48.m4a,12.29
1m.49.m4a,10.7
1m.50.m4a,12.41
1m.51.m4a,7.61
1m.52.m4a,9.52
1m.53.m4a,9.98
1m.54.m4a,10.36
1m.55.m4a,7.64
1m.56.m4a,11.62
1m.57.m4a,7.92
1m.58.m4a,14.1
1m.59.m4a,5.7
1m.60.m4a,10
20_180.wav,0.6
20_45.wav,-0.62
20_90.wav,-0.44
2_180.wav,-0.19
2_90.wav,-0.83
3_180.wav,1.95
3_45.wav,-0.2
3_90.wav,-0.45
4_180.wav,0.08
4_45.wav,-0.39
4_90.wav,-0.58
5_180.wav,0.66
5_45.wav,-0.62
5_90.wav,-0.52
6_180.wav,2.53
6_45.wav,-0.53
6_90.wav,-0.43
7_180.wav,1.72
7_45.wav,0.05
7_90.wav,-0.08
8_180.wav,4.19
8_45.wav,2.35
8_90.wav,1.65
9_180.wav,-0.09
9_45.wav,-0.92
9_90.wav,-0.78
DgDAM50rM_U_S0---0000.00-0013.510__1m.m4a,-0.04
DgDAM50rM_U_S102---0074.230-0084.080__1m.m4a,-0.33
DgDAM50rM_U_S102---0104.530-0113.750__1m.m4a,0.02
DgDAM50rM_U_S102---0113.750-0132.910__1m.m4a,-0.03
