filename,snr_db
150cm.34.m4a,2.57
150cm.21.m4a,4.81
150cm.35.m4a,3.46
150cm.23.m4a,5.47
150cm.37.m4a,6.24
mar_0010_50cm.m4a,-0.62
150cm.36.m4a,6.98
150cm.22.m4a,6.1
150cm.26.m4a,6.05
150cm.32.m4a,3.39
150cm.33.m4a,5.22
150cm.27.m4a,7.13
150cm.31.m4a,3.8
150cm.25.m4a,2.12
150cm.24.m4a,6.7
150cm.30.m4a,3.18
mar_0007_50cm.m4a,-0.37
mar_0006_50cm.m4a,-0.35
150cm.57.m4a,2.85
150cm.43.m4a,4.48
150cm.42.m4a,2.96
150cm.56.m4a,1.85
150cm.40.m4a,2.39
150cm.54.m4a,5.72
150cm.55.m4a,4.62
150cm.41.m4a,2.05
mar_0001_50cm.m4a,-0.29
150cm.45.m4a,3.76
150cm.51.m4a,1.91
150cm.50.m4a,3.2
150cm.44.m4a,3.35
150cm.52.m4a,4.73
150cm.46.m4a,4.47
150cm.47.m4a,7.5
150cm.53.m4a,4.98
mar_0004_50cm.m4a,-0.53
mar_0005_50cm.m4a,-0.18
150cm.49.m4a,3.99
150cm.48.m4a,7.52
150cm.58.m4a,5.1
150cm.59.m4a,5.12
150cm.29.m4a,3.01
150cm.28.m4a,4.4
mar_0003_50cm.m4a,-0.34
mar_0002_50cm.m4a,-0.28
150cm.38.m4a,4.66
mar_0009_50cm.m4a,-0.57
mar_0008_50cm.m4a,-0.34
150cm.39.m4a,5.13
