filename,snr_db
1m.59.m4a,5.7
5m.51.m4a,3.29
5m.45.m4a,3.07
150cm.34.m4a,2.57
2m.39.m4a,4.31
2m.38.m4a,6.66
150cm.21.m4a,4.81
150cm.35.m4a,3.46
5m.44.m4a,3.26
5m.50.m4a,3.66
1m.58.m4a,14.1
5m.46.m4a,7.35
5m.52.m4a,7.67
150cm.23.m4a,5.47
150cm.37.m4a,6.24
150cm.36.m4a,6.98
150cm.22.m4a,6.1
5m.53.m4a,13.87
5m.47.m4a,6.4
5m.43.m4a,4.0
5m.57.m4a,6.26
150cm.26.m4a,6.05
150cm.32.m4a,3.39
150cm.33.m4a,5.22
150cm.27.m4a,7.13
5m.56.m4a,7.17
5m.42.m4a,4.64
1m.60.m4a,10.0
1m.48.m4a,12.29
5m.54.m4a,17.28
5m.40.m4a,2.1
150cm.31.m4a,3.8
150cm.25.m4a,2.12
2m.28.m4a,3.8
2m.29.m4a,2.3
150cm.24.m4a,6.7
150cm.30.m4a,3.18
5m.41.m4a,2.78
5m.55.m4a,10.59
1m.49.m4a,10.7
5m.32.m4a,3.54
5m.26.m4a,6.27
150cm.57.m4a,2.85
150cm.43.m4a,4.48
150cm.42.m4a,2.96
150cm.56.m4a,1.85
5m.27.m4a,6.11
5m.33.m4a,4.11
1m.39.m4a,6.92
5m.25.m4a,4.71
5m.31.m4a,5.58
150cm.40.m4a,2.39
150cm.54.m4a,5.72
2m.59.m4a,3.54
2m.58.m4a,3.94
150cm.55.m4a,4.62
150cm.41.m4a,2.05
5m.30.m4a,6.3
5m.24.m4a,11.16
1m.38.m4a,10.07
1m.28.m4a,9.37
5m.34.m4a,2.71
150cm.45.m4a,3.76
150cm.51.m4a,1.91
2m.48.m4a,7.22
2m.49.m4a,3.62
150cm.50.m4a,3.2
150cm.44.m4a,3.35
5m.35.m4a,3.48
5m.21.m4a,8.52
1m.29.m4a,9.66
5m.37.m4a,5.19
5m.23.m4a,10.64
150cm.52.m4a,4.73
150cm.46.m4a,4.47
150cm.47.m4a,7.5
150cm.53.m4a,4.98
5m.22.m4a,10.72
5m.36.m4a,8.36
1m.27.m4a,11.3
1m.33.m4a,10.08
2m.53.m4a,5.47
2m.47.m4a,6.01
2m.46.m4a,2.98
2m.52.m4a,3.44
1m.32.m4a,7.69
1m.26.m4a,11.47
1m.30.m4a,8.83
1m.24.m4a,13.32
5m.38.m4a,4.17
150cm.49.m4a,3.99
2m.44.m4a,3.9
2m.50.m4a,6.65
2m.51.m4a,3.19
2m.45.m4a,4.43
150cm.48.m4a,7.52
5m.39.m4a,2.47
1m.25.m4a,12.26
1m.31.m4a,9.58
1m.35.m4a,9.73
1m.21.m4a,5.07
5m.29.m4a,4.94
150cm.58.m4a,5.1
2m.41.m4a,4.94
2m.55.m4a,4.5
2m.54.m4a,6.0
2m.40.m4a,8.57
150cm.59.m4a,5.12
5m.28.m4a,10.06
1m.34.m4a,7.12
1m.22.m4a,13.56
1m.36.m4a,7.08
2m.56.m4a,3.85
2m.42.m4a,6.56
2m.43.m4a,6.5
2m.57.m4a,4.57
1m.37.m4a,5.97
1m.23.m4a,10.81
1m.44.m4a,10.41
1m.50.m4a,12.41
5m.58.m4a,5.56
150cm.29.m4a,3.01
2m.30.m4a,5.64
2m.24.m4a,5.99
2m.25.m4a,3.17
2m.31.m4a,4.44
150cm.28.m4a,4.4
5m.59.m4a,5.67
1m.51.m4a,7.61
1m.45.m4a,8.83
1m.53.m4a,9.98
1m.47.m4a,11.76
2m.27.m4a,6.37
2m.33.m4a,5.66
2m.32.m4a,2.94
2m.26.m4a,6.29
1m.46.m4a,6.47
1m.52.m4a,9.52
1m.56.m4a,11.62
1m.42.m4a,12.35
2m.22.m4a,5.13
2m.36.m4a,9.58
2m.37.m4a,7.47
2m.23.m4a,4.7
1m.43.m4a,11.08
1m.57.m4a,7.92
1m.41.m4a,7.76
1m.55.m4a,7.64
5m.49.m4a,4.52
150cm.38.m4a,4.66
2m.35.m4a,6.95
2m.21.m4a,2.6
2m.34.m4a,2.82
150cm.39.m4a,5.13
5m.48.m4a,3.84
1m.54.m4a,10.36
1m.40.m4a,5.19
